T;eps;delt;h3;h4;eps_0;delta_0;DELTA
1000;0.45;0;2.734981413;3.598014232;0.426450005;0.005301878;0.005301878
10000;0.45;0;2.700670373;3.550710243;0.447719309;3.16E-04;3.16E-04
50000;0.45;0;2.695668015;3.543525049;0.450998064;-2.43E-05;2.43E-05
100000;0.45;0;2.705938822;3.558901949;0.44363105;6.87E-06;6.87E-06
500000;0.45;0;2.695451606;3.543173874;0.451177615;3.72E-06;3.72E-06
1000;0.45;5.00E-05;2.720072544;3.580251072;0.433067237;-1.64E-04;2.14E-04
10000;0.45;5.00E-05;2.672412512;3.508519235;0.467352422;9.71E-05;4.71E-05
50000;0.45;5.00E-05;2.69396051;3.540911254;0.452263716;3.09E-05;1.91E-05
100000;0.45;5.00E-05;2.698484673;3.547716471;0.449016113;1.12E-05;3.88E-05
500000;0.45;5.00E-05;2.697204185;3.54580995;0.449919391;-3.89E-06;5.39E-05
1000;0.45;1.00E-04;2.748618277;3.622360392;0.411843754;7.27E-04;6.27E-04
10000;0.45;1.00E-04;2.695628829;3.543291671;0.451191987;1.60E-04;5.96E-05
50000;0.45;1.00E-04;2.689671864;3.53441453;0.455360386;9.63E-05;3.71E-06
100000;0.45;1.00E-04;2.705281414;3.557893613;0.444130171;3.11E-05;6.89E-05
500000;0.45;1.00E-04;2.695780623;3.543669716;0.450940799;1.28E-06;9.87E-05
1000;0.45;5.00E-04;2.758783418;3.635644718;0.405819722;0.003345731;0.002845731
10000;0.45;5.00E-04;2.730760768;3.596192684;0.425084247;-6.17E-05;5.62E-04
50000;0.45;5.00E-04;2.703523778;3.555296904;0.445365776;-1.22E-05;5.12E-04
100000;0.45;5.00E-04;2.701684888;3.552560821;0.446672846;-3.61E-05;5.36E-04
500000;0.45;5.00E-04;2.695961996;3.543935644;0.450817238;7.76E-06;4.92E-04
1000;0.45;0.001;2.688448091;3.534119703;0.454774137;-0.001498747;0.002498747
10000;0.45;0.001;2.677710204;3.516659232;0.463533918;-9.33E-05;0.001093298
50000;0.45;0.001;2.692612311;3.538942323;0.453170452;-2.49E-05;0.00102489
100000;0.45;0.001;2.699519879;3.549274002;0.44826879;6.21E-06;9.94E-04
500000;0.45;0.001;2.698395207;3.547585937;0.449076738;7.31E-06;9.93E-04
1000;0.45;0.005;2.714266022;3.570782448;0.438129608;6.92E-04;0.004308047
10000;0.45;0.005;2.708433543;3.562598919;0.441857104;5.66E-05;0.004943365
50000;0.45;0.005;2.701510299;3.552221851;0.446872842;4.69E-05;0.004953116
100000;0.45;0.005;2.709957708;3.564967209;0.44066218;-3.40E-05;0.005033968
500000;0.45;0.005;2.703599862;3.555403233;0.445318241;-3.73E-06;0.005003727
1000;0.45;0.01;2.753724086;3.632419845;0.405207903;-0.002432355;0.012432355
10000;0.45;0.01;2.70901039;3.563198963;0.441694048;3.49E-04;0.009650828
50000;0.45;0.01;2.712733136;3.568972174;0.438778673;1.43E-04;0.009857338
100000;0.45;0.01;2.703786596;3.555666106;0.445199695;1.49E-05;0.009985051
500000;0.45;0.01;2.710328981;3.565472675;0.440440361;2.31E-05;0.009976925
1000;0.45;0.05;2.787142807;3.682146603;0.377647925;-0.002205697;0.052205697
10000;0.45;0.05;2.743854417;3.615461168;0.415337651;4.03E-04;0.049596719
50000;0.45;0.05;2.751308496;3.626812487;0.40926525;1.95E-04;0.049804874
100000;0.45;0.05;2.756299865;3.63430905;0.405253724;1.87E-04;0.04981335
500000;0.45;0.05;2.754049897;3.630908569;0.407090247;2.18E-04;0.049781605
