eps;0.35
teta;0.5
T;1000000
0;Infinity;Infinity;Infinity;Infinity
1;1.9339290497024182;1.9563993148862837;1.9839816421293066;1.995901005263675
2;1.433925336061871;1.4563118119234133;1.483793823077514;1.4958105021033758
3;1.2672574238951855;1.2896151462370606;1.317064255111253;1.3291085862416083
4;1.1839218435079053;1.2062670652297505;1.23369827088561;1.2457572143078324
5;1.133919561809505;1.156255957995523;1.1836768817431218;1.1957448286928825
6;1.1005795488240888;1.1229119999946626;1.15032564829991;1.1623996349247443
7;1.0767609983500344;1.0990894628793206;1.1264971000331157;1.1385738764642177
8;1.0588861578630806;1.0812128190354577;1.1086139905732288;1.1206947586295168
9;1.0449636032028158;1.0672893459705985;1.094684374311264;1.106769092963382
10;1.0337922668435229;1.056113981551044;1.0835063179697397;1.0955883098263017
11;1.0245884625963997;1.0469034443923089;1.0742909720717655;1.0863700906272322
12;1.0167874510428505;1.0391060281538345;1.066486669940702;1.078563930739353
13;1.0099500422624936;1.032267723874318;1.0596545628882201;1.071732429408892
14;1.0036439554318686;1.0259677275501466;1.0533696846561977;1.0654459700518193
15;0.997283421302898;1.0196554671388034;1.047098971809827;1.0591689886763855
16;0.990128655810976;1.0124573439290385;1.0399765891363466;1.0520912541290524
17;0.9811259521398717;1.003055256336154;1.0303672450061778;1.0425146327496941
18;0.9691028726915465;0.9898930059332921;1.015772096765933;1.0272998625465377
19;0.9531397766451672;0.9717480213389498;0.9942268005492795;1.003771960400973
